repo_id,url,stratum,family_id,family_relation,discovery_scope,task,parameters,languages,license_status,subject_areas,top_evidence_type,evidence_quote,description,review_factual,review_evidence_sufficient,review_omissions,review_family_correct,review_useful
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,text_generation_chat,01-ai--yi-34b-chat,exact_duplicate_of,variant,text-generation,34388917248,en;zh,recognized_identifier,education,trained_on,"In the ""Needle-in-a-Haystack"" test, the Yi-34B-200K's performance is improved by 10.5%, rising from 89.3% to an impressive 99.8%. We continue to pre-train the model on 5B tokens long-context data mixture and demonstrate a near-all-green performance.","The Yi series models are the next generation of open‑source large language models trained from scratch by 01.AI, targeting bilingual (English/Chinese) usage and excelling in language understanding, commonsense reasoning, reading comprehension, coding, math, instruction following, and long‑context handling.",,,,,
01-ai/Yi-9B,https://huggingface.co/01-ai/Yi-9B,text_generation_chat,01-ai--yi-9b,canonical,primary,text-generation,8829407232,en;zh,recognized_identifier,multilingual-nlp,trained_on,"Targeted as a bilingual language model and trained on 3T multilingual corpus, the Yi series models become one of the strongest LLM worldwide, showing promise in language understanding, commonsense reasoning, reading comprehension, and more.","Yi-9B is a 9‑billion‑parameter bilingual large language model trained from scratch on a 3‑trillion‑token multilingual corpus, built on the Llama architecture and designed for high‑performance text generation, chat, code, math, and reasoning tasks.",,,,,
01-ai/Yi-Coder-9B,https://huggingface.co/01-ai/Yi-Coder-9B,text_generation_chat,01-ai--yi-coder-9b,exact_duplicate_of,variant,text-generation,8829407232,java_server_pages;tex;visual_basic;rmarkdown;pascal;cmake;coffeescript;toml;batchfile;prolog,recognized_identifier,,evaluated_on,"Yi-Coder-9B-Chat achieved an impressive 23% pass rate in LiveCodeBench, making it the only model with under 10B parameters to surpass 20%.",Yi-Coder is a series of open‑source code language models that delivers state‑of‑the‑art coding performance with fewer than 10 billion parameters.,,,,,
01-ai/Yi-Coder-9B-Chat,https://huggingface.co/01-ai/Yi-Coder-9B-Chat,text_generation_chat,01-ai--yi-coder-9b,canonical,primary,text-generation,8829407232,java_server_pages;tex;visual_basic;rmarkdown;pascal;cmake;coffeescript;toml;batchfile;prolog,recognized_identifier,software-engineering;multilingual-nlp,trained_on,Supporting 52 major programming languages,"Yi-Coder-9B-Chat is an open‑source code language model with 9 B parameters that supports 52 programming languages and a 128K‑token context window, delivering state‑of‑the‑art coding performance.",,,,,
0x3/functiongemma-finetuned-g1-multilingual,https://huggingface.co/0x3/functiongemma-finetuned-g1-multilingual,text_generation_chat,google--functiongemma-270m-it,exact_duplicate_of,variant,text-generation,268099456,en;zh;ja;fr;de;es,recognized_identifier,robotics;multilingual-nlp,trained_on,Supports **6 languages** with **98% accuracy** at **~59ms** on NVIDIA Jetson AGX Thor,A fine‑tuned FunctionGemma 270M model that converts natural language into structured robot action and emotion function calls. Supports 6 languages with 98 % accuracy at ~59 ms on NVIDIA Jetson AGX Thor.,,,,,
21world/Darwin-35B-A3B-Opus,https://huggingface.co/21world/Darwin-35B-A3B-Opus,text_generation_chat,qwen--qwen3-5-35b-a3b,derived_from,primary,text-generation,35951822704,en;zh;ko;ja;de;fr;es;ru;ar;multilingual,recognized_identifier,,evaluated_on,TL;DR**: 35B MoE (3B active) | **GPQA Diamond 90.0%** (beats Father 84.2% & Mother 85.0%) | **MMMLU 85.0%** | Multimodal ✅ | 201 Languages | 262K Context | 147.8 tok/s | Apache 2.0,"Darwin-35B-A3B-Opus is a 35B MoE language model that merges Qwen3.5-35B-A3B and Claude 4.6 Opus Distilled using evolutionary merge and Model MRI, achieving 90% GPQA Diamond reasoning while preserving multimodal and multilingual capabilities.",,,,,
ATH-MaaS/Marco-Nano-Instruct,https://huggingface.co/ATH-MaaS/Marco-Nano-Instruct,text_generation_chat,ath-maas--marco-nano-instruct,canonical,primary,text-generation,8001454080,en;zh;ar;de;es;fr;ko;ja;pt;tr;id;it;nl;pl;ru;vi;th;he;uk;ms;bn;cs;ur;kk;el;ro;hu;ne;az,recognized_identifier,mathematics,fine_tuned_on,Math | DAPO-Math-17k + Skywork-OR1-RL-Data | 10%,"Marco‑Nano‑Instruct is a post‑trained, highly sparse Mixture‑of‑Experts multilingual language model that activates only 0.6 B out of 8 B total parameters (7.5 % activation ratio) per token, yet delivers the best average performance across English, multilingual general, and multilingual cultural benchmarks among comparable instruct models up to 3.84 B activated parameters.",,,,,
Ankit2802/phi3_vision_128k,https://huggingface.co/Ankit2802/phi3_vision_128k,text_generation_chat,oumi-ai--phi-3-vision-128k-instruct,exact_duplicate_of,variant,text-generation,4146621440,multilingual;en,recognized_identifier,multilingual-nlp;education;software-engineering;mathematics;document-understanding,trained_on,The Phi models are trained primarily on English text. Languages other than English will experience worse performance.,"Phi-3-Vision-128K-Instruct is a lightweight, state‑of‑the‑art open multimodal model with 128K‑token context, designed for efficient text and image generation.",,,,,
Anserwise/AWAXIS-Think-27b,https://huggingface.co/Anserwise/AWAXIS-Think-27b,text_generation_chat,final-bench--darwin-27b-opus,derived_from,primary,text-generation,26895998464,ko;en;ja;zh;multilingual,recognized_identifier,law;social-science;multilingual-nlp,fine_tuned_on,"- **Korean SFT**: 한국어 문화, 역사, 법률, 경제, 사회, 지리 등 한국 특화 지식 중심의 고품질 instruction 데이터로 Supervised Fine-Tuning 수행",A Korean‑specialized high‑quality supervised fine‑tuned inference model based on Darwin‑27B‑Opus.,,,,,
Anserwise/AWAXIS-Think-28B,https://huggingface.co/Anserwise/AWAXIS-Think-28B,text_generation_chat,final-bench--darwin-28b-opus,derived_from,primary,text-generation,27781427952,ko;en;zh;ja;multilingual,recognized_identifier,multilingual-nlp,intended_for,✅ 다국어 교차 작업 (한·영·중·일),"An Korean‑specialized 28B inference LLM built on Qwen3.6‑27B and Darwin V7 evolutionary merge, fine‑tuned with Korean LoRA, supporting Korean Q&A, conversation, creative writing, long reasoning, chain‑of‑thought, multilingual tasks, summarization, translation, analysis, and multimodal image‑to‑text with a 262,144‑token context window.",,,,,
